case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
134,DG_k1_t0,16,16,16,8139.816,400,16,1,29,5842.344837216528,5668.815613388306,3670.344837216527,1998.4707761717787,2000.0,391.0,80.0,0,0,C,195,89,C,1,0.23457800000323914
134,DG_k3_t0,16,16,16,8139.816,400,16,1,29,5842.344837216528,5668.815613388306,3670.344837216527,1998.4707761717787,2000.0,391.0,80.0,0,0,C,195,89,C,4,0.33716319999075495
134,C3FDirect,16,16,16,8139.816,400,16,1,29,5842.344837216528,5668.815613388306,3670.344837216527,1998.4707761717787,2000.0,391.0,80.0,0,0,C,195,89,,,0.2966279999818653
134,B,16,16,16,8700.6,446,16,1,27,6203.83225201111,5950.60037599756,3870.832252011111,2079.768123986449,2230.0,440.0,80.0,0,,,,,,,0.22502170002553612
134,C,16,16,16,9822.513,500,16,1,29,6184.204699613164,6758.51334730981,3630.204699613162,3128.3086476966496,2500.0,484.0,80.0,0,,,,,,,0.6016285000077914
135,Cplus3F,16,16,16,8300.909,349,16,1,27,6043.589724858887,6135.909391594857,4021.5897248588876,2114.31966673597,1745.0,340.0,80.0,0,0,B,0,0,,,0.3655275999917649
135,DG_k1_t0,16,16,16,7860.886,338,16,1,29,5075.546385228223,5765.886319175483,3285.546385228223,2480.339933947261,1690.0,325.0,80.0,0,0,C,183,83,C,1,0.3219756999751553
135,DG_k3_t0,16,16,16,7860.886,338,16,1,29,5075.546385228223,5765.886319175483,3285.546385228223,2480.339933947261,1690.0,325.0,80.0,0,0,C,183,83,C,5,0.35521879998850636
135,C3FDirect,16,16,16,7860.886,338,16,1,29,5075.546385228223,5765.886319175483,3285.546385228223,2480.339933947261,1690.0,325.0,80.0,0,0,C,183,83,,,0.3950890999985859
135,B,16,16,16,8300.909,349,16,1,27,6043.589724858887,6135.909391594857,4021.5897248588876,2114.31966673597,1745.0,340.0,80.0,0,,,,,,,0.3811367000162136
135,C,16,16,16,8837.539,416,16,1,29,5535.448874481239,6282.539105485022,3282.4488744812384,3000.0902310037864,2080.0,395.0,80.0,0,,,,,,,0.4980160999984946
136,Cplus3F,16,16,16,8053.559,359,16,1,27,4902.614676064811,5842.558779308728,3097.614676064809,2744.9441032439217,1795.0,336.0,80.0,0,0,B,0,0,,,0.3539800000144169
136,DG_k1_t0,16,16,16,8199.053,422,16,1,29,6116.3656085882985,5599.052573171576,3684.3656085882985,1914.6869645832762,2110.0,410.0,80.0,0,0,C,107,70,C,1,0.2290031000156887
136,DG_k3_t0,16,16,16,8199.053,422,16,1,29,6116.3656085882985,5599.052573171576,3684.3656085882985,1914.6869645832762,2110.0,410.0,80.0,0,0,C,107,70,C,3,0.23397460000705905
136,C3FDirect,16,16,16,8199.053,422,16,1,29,6116.3656085882985,5599.052573171576,3684.3656085882985,1914.6869645832762,2110.0,410.0,80.0,0,0,C,107,70,,,0.1695037999888882
136,B,16,16,16,8053.559,359,16,1,27,4902.614676064811,5842.558779308728,3097.614676064809,2744.9441032439217,1795.0,336.0,80.0,0,,,,,,,0.43983630000730045
136,C,16,16,16,9552.255,521,16,1,29,6451.879841144399,6365.25469018501,3642.8798411443977,2722.374849040612,2605.0,502.0,80.0,0,,,,,,,0.666494800010696
137,Cplus3F,16,16,16,9062.215,445,16,1,27,6470.3217781480935,6330.214894988867,4015.321778148094,2314.8931168407717,2225.0,427.0,80.0,0,0,B,0,0,,,0.31786619999911636
