case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,wall_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions
94,rand1800,12,12,12,7993.892,328,12,1,25,5606.644274496778,0.31993209998472594,5977.89227716821,3765.644274496778,2212.2480026714293,1640.0,316.0,60.0,0
95,rand1800,12,12,12,7731.803,337,12,1,25,5724.574332881955,0.20898689999012277,5656.802760204299,3788.574332881956,1868.2284273223445,1685.0,330.0,60.0,0
96,rand1800,12,12,12,8410.032,362,12,1,25,5762.644274496777,0.44408620000467636,6197.031591895991,3765.644274496778,2431.3873173992138,1810.0,343.0,60.0,0
97,rand1800,12,12,12,7641.407,332,12,1,25,5672.644274496778,0.18325200001709163,5595.406660126994,3765.644274496778,1829.7623856302164,1660.0,326.0,60.0,0
98,rand1800,12,12,12,7835.738,352,12,1,25,5786.644274496777,0.2529676000121981,5669.737853227842,3765.644274496778,1904.0935787310632,1760.0,346.0,60.0,0
99,rand1800,12,12,12,8347.389,310,12,1,25,5522.644274496778,0.20824129998800345,6435.389214186171,3765.644274496778,2669.7449396893917,1550.0,302.0,60.0,0
100,rand1800,12,12,12,8896.38,364,12,1,25,5684.644274496778,0.5289117000065744,6686.379681557689,3765.644274496778,2920.735407060916,1820.0,330.0,60.0,0
101,rand1800,12,12,12,8630.476,354,12,1,25,5756.644274496778,0.37577119999332353,6459.476113612425,3765.644274496778,2693.8318391156513,1770.0,341.0,60.0,0
102,rand1800,12,12,12,8032.544,303,12,1,25,5492.644274496778,0.1657396999944467,6162.5441170160475,3765.644274496778,2396.899842519267,1515.0,295.0,60.0,0
103,rand1800,12,12,12,8129.526,313,12,1,25,5456.644274496778,0.4782287999987602,6213.526026354267,3765.644274496778,2447.881751857493,1565.0,291.0,60.0,0
104,rand1800,12,12,12,7699.11,315,12,1,25,5539.636997561119,0.3166064999822993,5763.1104713955665,3777.6369975611187,1985.4734738344491,1575.0,301.0,60.0,0
105,rand1800,12,12,12,7692.438,323,12,1,25,5606.644274496778,0.2343438999960199,5702.437657265219,3765.644274496778,1936.79338276844,1615.0,315.0,60.0,0
106,rand1800,12,12,12,8411.77,337,12,1,25,5606.644274496778,0.3868347999814432,6348.770362591744,3765.644274496778,2583.1260880949662,1685.0,318.0,60.0,0
107,rand1800,12,12,12,8368.042,325,12,1,25,5582.644274496778,0.22761469997931272,6368.041879236263,3765.644274496778,2602.3976047394844,1625.0,315.0,60.0,0
108,rand1800,12,12,12,8030.312,346,12,1,25,5672.539783581537,0.5208686000260059,5915.311601583225,3772.5397835815384,2142.771818001686,1730.0,325.0,60.0,0
109,rand1800,12,12,12,8444.049,361,12,1,25,5762.644274496778,0.4075789999915287,6236.048788584761,3765.644274496778,2470.4045140879853,1805.0,343.0,60.0,0
110,rand1800,12,12,12,7854.401,342,12,1,25,5594.644274496778,0.2740697000117507,5760.400784148819,3765.644274496778,1994.7565096520411,1710.0,324.0,60.0,0
111,rand1800,12,12,12,9265.745,439,12,1,25,5940.34612596753,0.5599498999945354,6596.744532284387,3806.34612596753,2790.3984063168573,2195.0,414.0,60.0,0
112,rand1800,12,12,12,9763.716,430,12,1,25,5924.644274496777,0.3257795999816153,7154.715839557045,3765.644274496778,3389.071565060268,2150.0,399.0,60.0,0
113,rand1800,12,12,12,7766.078,340,12,1,25,5690.644274496777,0.24256430001696572,5678.078304426974,3765.644274496778,1912.4340299301955,1700.0,328.0,60.0,0
114,rand1800,12,12,12,7766.21,329,12,1,25,5679.906592548757,0.23629289999371395,5741.210243965571,3809.9065925487575,1931.3036514168116,1645.0,320.0,60.0,0
115,rand1800,12,12,12,8917.435,426,12,1,25,5876.644274496777,0.5031900999892969,6314.434660392305,3765.644274496778,2548.79038589553,2130.0,413.0,60.0,0
