case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
65,L1100_C2,16,16,16,8088.921,317,16,1,19,0.36319230002118275
66,L1100_C2,16,16,16,8074.865,240,16,1,19,0.2191439000016544
67,L1100_C2,16,16,16,7639.021,250,16,1,19,0.4425004000077024
68,L1100_C2,16,16,16,6655.403,252,16,1,19,0.30312289998983033
69,L1100_C2,16,16,16,8518.863,302,16,1,19,0.4314802000008058
70,L1100_C2,16,16,16,8526.958,386,16,1,19,0.4567304999800399
71,L1100_C2,16,16,16,8631.248,292,16,1,19,0.7221674000029452
72,L1100_C2,16,16,16,8204.176,441,16,1,19,0.4855235999857541
73,L1100_C2,16,16,16,7796.689,287,16,1,19,0.39781769999535754
74,L1100_C2,16,16,16,8357.137,269,16,1,19,0.3618042999878526
75,L1100_C2,16,16,16,8815.007,292,16,1,19,0.5557295000180602
76,L1100_C2,16,16,16,9004.829,385,16,1,19,0.42527049998170696
77,L1100_C2,16,16,16,8477.818,412,16,1,19,0.4066302999854088
78,L1100_C2,16,16,16,5102.871,176,16,1,19,0.25513870001304895
79,L1100_C2,16,16,16,6786.358,229,16,1,19,0.5691745999793056
80,L1100_C2,16,16,16,6981.605,232,16,1,19,0.30475889999070205
81,L1100_C2,16,16,16,8878.784,387,16,1,19,0.5680391999776475
82,L1100_C2,16,16,16,8861.743,374,16,1,19,0.42907569999806583
83,L1100_C2,16,16,16,7732.814,289,16,1,19,0.5608090999885462
84,L1100_C2,16,16,16,8817.831,301,16,1,19,0.3430176000110805
85,L1100_C2,16,16,16,9915.185,507,16,1,19,0.6198108000098728
86,L1100_C2,16,16,16,7610.817,262,16,1,19,0.32236489999922924
87,L1100_C2,16,16,16,6518.718,281,16,1,19,0.39368710000417195
88,L1100_C2,16,16,16,7558.107,326,16,1,19,0.3557245999982115
89,L1100_C2,16,16,16,8603.1,312,16,1,19,0.3550743999949191
90,L1100_C2,16,16,16,8887.363,354,16,1,19,0.3894702999969013
91,L1100_C2,16,16,16,6773.452,204,16,1,19,0.3366581999871414
92,L1100_C2,16,16,16,8728.485,301,16,1,19,0.4048478000040632
93,L1100_C2,16,16,16,8069.292,347,16,1,19,0.43522839999059215
94,L1100_C2,16,16,16,7591.305,245,16,1,19,0.26663769999868236
95,L1100_C2,16,16,16,8056.961,245,16,1,19,0.3841039999970235
96,L1100_C2,16,16,16,7710.41,240,16,1,19,0.4971044999838341
97,L1100_C2,16,16,16,9061.855,281,16,1,19,0.40154079999774694
98,L1100_C2,16,16,16,6696.768,214,16,1,19,0.4832048999960534
99,L1100_C2,16,16,16,9500.039,413,16,1,19,0.38293190000695176
100,L1100_C2,16,16,16,8053.986,296,16,1,19,0.32570919999852777
101,L1100_C2,16,16,16,8497.397,249,16,1,19,0.3176258000021335
102,L1100_C2,16,16,16,6449.647,290,16,1,19,0.34668089999468066
103,L1100_C2,16,15,15,9484.61,383,15,0,19,0.3670429000048898
104,L1100_C2,16,16,16,8088.049,344,16,1,19,0.463046699995175
105,L1100_C2,16,16,16,8911.039,328,16,1,19,0.614942800020799
106,L1100_C2,16,16,16,6886.126,273,16,1,19,0.38654330000281334
107,L1100_C2,16,16,16,8181.586,261,16,1,19,0.4061976000084542
