label,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,origin_discoveries,selected_route,pruned_observations,audited_pruned,pruned_truth_hits,min_pruned_dist,max_kept_dist,movement,search_movement,post_movement,detection,switching,clearing
A_normal_n10,25,B,10,10,10,8208.33,391,10,1,8,B,0,0,0,,,5816.330033510258,4081.871979393182,1734.458054117078,1955.0,387.0,50.0
A_normal_n10,25,C,10,10,10,7213.012,367,10,1,8,C,0,0,0,,,4964.01163227578,3659.1257793936384,1304.8858528821413,1835.0,364.0,50.0
A_normal_n10,25,BF,10,10,10,8046.33,364,10,1,8,B,27,0,0,,,5816.330033510258,4081.871979393182,1734.458054117078,1820.0,360.0,50.0
A_normal_n10,25,CF,10,10,10,7177.012,361,10,1,8,C,6,0,0,,,4964.01163227578,3659.1257793936384,1304.8858528821413,1805.0,358.0,50.0
A_normal_n10,25,D,10,10,10,7177.012,361,10,1,8,C,6,6,0,1900.1247958236468,1370.9495650244735,4964.01163227578,3659.1257793936384,1304.8858528821413,1805.0,358.0,50.0
A_normal_n10,25,C3F,10,10,10,7177.012,361,10,1,8,C,6,0,0,,,4964.01163227578,3659.1257793936384,1304.8858528821413,1805.0,358.0,50.0
A_boundary_random_n10,1,B,10,10,10,8869.69,477,10,1,0,B,0,0,0,,,5966.690074548619,4099.841944390513,1866.8481301581069,2385.0,468.0,50.0
A_boundary_random_n10,1,C,10,10,10,8376.953,510,10,1,0,C,0,0,0,,,5274.9526264433935,3635.8633416462153,1639.089284797176,2550.0,502.0,50.0
A_boundary_random_n10,1,BF,10,10,10,8650.69,440,10,1,0,B,37,0,0,,,5966.690074548619,4099.841944390513,1866.8481301581069,2200.0,434.0,50.0
A_boundary_random_n10,1,CF,10,10,10,7839.953,421,10,1,0,C,89,0,0,,,5274.9526264433935,3635.8633416462153,1639.089284797176,2105.0,410.0,50.0
