case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
79,L1000_C2,15,15,15,11527.814,355,15,1,31,9077.112808254265,9332.814069512071,1775.0,345.0,75.0,0,0.4772229999944102
80,L1100_C2,15,15,15,7633.313,255,15,1,19,5381.0,6035.312653307745,1275.0,248.0,75.0,0,0.4282879999955185
80,L1000_C2,15,15,15,11323.625,342,15,1,31,9156.47189913879,9200.624954707297,1710.0,338.0,75.0,0,0.2531017000146676
81,L1100_C2,14,14,14,8085.969,291,14,1,19,5405.0,6287.968754056225,1455.0,273.0,70.0,0,0.5776765000191517
81,L1000_C2,14,14,14,11966.162,362,14,1,31,9106.38764008222,9740.161821573158,1810.0,346.0,70.0,0,0.5253713999991305
82,L1100_C2,16,16,16,7460.337,250,16,1,19,5065.0,5895.337082788374,1250.0,235.0,80.0,0,0.46336719999089837
82,L1000_C2,16,16,16,9071.388,281,16,1,31,5415.0,7331.388226525999,1405.0,255.0,80.0,0,0.6502931000140961
83,L1100_C2,15,15,15,7790.879,229,15,1,19,5135.41492294213,6360.879392771902,1145.0,210.0,75.0,0,0.5870937000145204
83,L1000_C2,15,15,15,11688.15,294,15,1,31,8603.50793596432,9878.149838477544,1470.0,265.0,75.0,0,0.758314300008351
84,L1100_C2,15,15,15,7859.66,261,15,1,19,5177.0,6241.6603776988595,1305.0,238.0,75.0,0,0.5204112000064924
84,L1000_C2,15,15,15,11078.974,281,15,1,31,8683.384014015266,9329.974484793047,1405.0,269.0,75.0,0,0.4945794999948703
85,L1100_C2,11,11,11,7690.639,249,11,1,19,5309.0,6157.639009516517,1245.0,233.0,55.0,0,0.41632009999011643
85,L1000_C2,11,11,11,11259.753,355,11,1,31,9090.560423726694,9085.75297069469,1775.0,344.0,55.0,0,0.29313080001156777
86,L1100_C2,13,13,13,7231.871,261,13,1,19,5368.456328914695,5616.870855685854,1305.0,245.0,65.0,0,0.24692819998017512
86,L1000_C2,13,13,13,10697.479,338,13,1,31,9051.427772233872,8608.479361325939,1690.0,334.0,65.0,0,0.20743159999256022
